|------|--------------------|---------|---------------------|-------------------|--------------------|
| Grid | Training Dataset % | K Value | Correct Predictions | Total Predictions | Accuracy %         |
|------|--------------------|---------|---------------------|-------------------|--------------------|
| 5x5  |                1.0 |       1 |                 974 |              1000 |               97.4 |
|------|--------------------|---------|---------------------|-------------------|--------------------|
| 5x5  |                1.0 |       3 |                 972 |              1000 |               97.2 |
|------|--------------------|---------|---------------------|-------------------|--------------------|
| 5x5  |                1.0 |       5 |                 968 |              1000 |               96.8 |
|------|--------------------|---------|---------------------|-------------------|--------------------|
| 5x5  |                0.5 |       1 |                 967 |              1000 |               96.7 |
|------|--------------------|---------|---------------------|-------------------|--------------------|
| 5x5  |                1.0 |       9 |                 966 |              1000 |               96.6 |
|------|--------------------|---------|---------------------|-------------------|--------------------|
| 5x5  |                1.0 |       7 |                 966 |              1000 |               96.6 |
|------|--------------------|---------|---------------------|-------------------|--------------------|
| 5x5  |                1.0 |      11 |                 962 |              1000 |               96.2 |
|------|--------------------|---------|---------------------|-------------------|--------------------|
| 5x5  |                0.5 |       3 |                 962 |              1000 |               96.2 |
|------|--------------------|---------|---------------------|-------------------|--------------------|
| 5x5  |                0.5 |       7 |                 960 |              1000 |               96.0 |
|------|--------------------|---------|---------------------|-------------------|--------------------|
| 5x5  |                0.5 |       9 |                 958 |              1000 |               95.8 |
|------|--------------------|---------|---------------------|-------------------|--------------------|
| 5x5  |                0.5 |       5 |                 957 |              1000 |               95.7 |
|------|--------------------|---------|---------------------|-------------------|--------------------|
| 5x5  |                1.0 |      13 |                 957 |              1000 |               95.7 |
|------|--------------------|---------|---------------------|-------------------|--------------------|
| 5x5  |                1.0 |      15 |                 953 |              1000 |               95.3 |
|------|--------------------|---------|---------------------|-------------------|--------------------|
| 5x5  |                1.0 |      17 |                 951 |              1000 |               95.1 |
|------|--------------------|---------|---------------------|-------------------|--------------------|
| 5x5  |                1.0 |      19 |                 950 |              1000 |               95.0 |
|------|--------------------|---------|---------------------|-------------------|--------------------|
| 5x5  |                0.5 |      11 |                 948 |              1000 |               94.8 |
|------|--------------------|---------|---------------------|-------------------|--------------------|
| 5x5  |               0.25 |       1 |                 947 |              1000 |               94.7 |
|------|--------------------|---------|---------------------|-------------------|--------------------|
| 5x5  |                0.5 |      19 |                 937 |              1000 |               93.7 |
|------|--------------------|---------|---------------------|-------------------|--------------------|
| 5x5  |               0.25 |       7 |                 935 |              1000 |               93.5 |
|------|--------------------|---------|---------------------|-------------------|--------------------|
| 5x5  |                0.5 |      15 |                 934 |              1000 |               93.4 |
|------|--------------------|---------|---------------------|-------------------|--------------------|
| 3x3  |                1.0 |      11 |                 933 |              1000 |               93.3 |
|------|--------------------|---------|---------------------|-------------------|--------------------|
| 3x3  |                0.5 |       5 |                 933 |              1000 |               93.3 |
|------|--------------------|---------|---------------------|-------------------|--------------------|
| 5x5  |               0.25 |       3 |                 933 |              1000 |               93.3 |
|------|--------------------|---------|---------------------|-------------------|--------------------|
| 3x3  |                1.0 |      13 |                 932 |              1000 |               93.2 |
|------|--------------------|---------|---------------------|-------------------|--------------------|
| 3x3  |                1.0 |       9 |                 932 |              1000 |               93.2 |
|------|--------------------|---------|---------------------|-------------------|--------------------|
| 5x5  |                0.5 |      13 |                 932 |              1000 |               93.2 |
|------|--------------------|---------|---------------------|-------------------|--------------------|
| 3x3  |                1.0 |       7 |                 931 |              1000 |               93.1 |
|------|--------------------|---------|---------------------|-------------------|--------------------|
| 3x3  |                1.0 |       3 |                 931 |              1000 |               93.1 |
|------|--------------------|---------|---------------------|-------------------|--------------------|
| 5x5  |                0.5 |      17 |                 931 |              1000 |               93.1 |
|------|--------------------|---------|---------------------|-------------------|--------------------|
| 3x3  |                1.0 |       1 |                 928 |              1000 |               92.8 |
|------|--------------------|---------|---------------------|-------------------|--------------------|
| 3x3  |                1.0 |       5 |                 928 |              1000 |               92.8 |
|------|--------------------|---------|---------------------|-------------------|--------------------|
| 3x3  |                1.0 |      19 |                 926 |              1000 |               92.6 |
|------|--------------------|---------|---------------------|-------------------|--------------------|
| 5x5  |               0.25 |      11 |                 926 |              1000 |               92.6 |
|------|--------------------|---------|---------------------|-------------------|--------------------|
| 3x3  |                1.0 |      17 |                 926 |              1000 |               92.6 |
|------|--------------------|---------|---------------------|-------------------|--------------------|
| 3x3  |                1.0 |      15 |                 925 |              1000 |               92.5 |
|------|--------------------|---------|---------------------|-------------------|--------------------|
| 3x3  |                0.5 |       1 |                 923 |              1000 |               92.3 |
